date,ticker,title,source,url,snippet,full_content,query_source,signal_score,is_atw_core,scraping_date
2026-04-13T16:06:56+00:00,ATW,Attijariwafa Bank à la pointe de la révolution IA - Infomédiaire,Infomédiaire,https://www.infomediaire.net/attijariwafa-bank-a-la-pointe-de-la-revolution-ia/,Attijariwafa Bank à la pointe de la révolution IA Infomédiaire,"Au cœur du GITEX Africa 2026, véritable carrefour mondial de l’innovation technologique, les acteurs majeurs du secteur financier africain affinent leur stratégie face aux grandes ruptures digitales. Parmi eux, le groupe Attijariwafa bank confirme son positionnement en première ligne.
Présent à chaque édition, le groupe bancaire considère désormais cet événement bien au-delà d’un simple salon. Il s’agit d’un espace stratégique de veille, de rencontres et d’anticipation, permettant de concentrer en quelques jours des échanges clés avec l’ensemble de l’écosystème, entre grandes entreprises, startups, fintechs et experts internationaux. L’objectif est clair : rester au cœur de l’innovation africaine et capter les signaux faibles du futur.
Dans un contexte où l’intelligence artificielle et la data redéfinissent profondément les services financiers, Attijariwafa bank affiche une ambition nette : passer du stade de l’expérimentation à celui de l’industrialisation. La transformation digitale du groupe ne date pas d’hier. Elle repose sur un travail structurant autour de la donnée, avec le développement de plateformes robustes et l’amélioration continue des capacités technologiques internes. Cette base permet aujourd’hui d’accélérer le déploiement de solutions à grande échelle.
Dès 2023, le groupe a franchi une étape importante avec le lancement de son AI Center, présenté comme une première sur le marché national. Depuis, plus de 50 cas d’usage ont été développés et mis en production dans plusieurs domaines stratégiques, notamment la détection de la fraude, l’amélioration de l’efficacité opérationnelle et le renforcement de la connaissance client.
Avec cette montée en puissance, Attijariwafa bank ne cherche plus seulement à tester des innovations, mais à s’imposer comme une “AI Bank”, pleinement inscrite dans l’ère de la banque intelligente.
Rejoignez-nous sur WhatsApp
Rejoignez-nous sur telegram
Suivez-nous sur Google News",google_news:MA:fr,45,1,2026-04-15T16:30:31.060295+00:00
2026-04-13T10:20:00+00:00,ATW,"Bourse de Casablanca : Managem devient la première capitalisation à la mi-séance, dépassant Attijariwafa bank - Medias24",Medias24,https://medias24.com/2026/04/13/bourse-de-casablanca-managem-devient-la-premiere-capitalisation-a-la-mi-seance-depassant-attijariwafa-bank-1658769/,"Bourse de Casablanca : Managem devient la première capitalisation à la mi-séance, dépassant Attijariwafa bank Medias24","À mi-séance ce lundi 13 avril 2026, le titre Managem poursuit sa progression et hisse le groupe en tête des capitalisations de la place casablancaise. À 12h50, l’action s’échangeait autour de 12.700 DH, en hausse de 6,4% sur la séance, portant sa performance à un niveau soutenu depuis le début de l’année (+98%) et dans la continuité de la forte revalorisation engagée depuis 2025 (+355%). L’industriel minier devance ainsi légèrement Attijariwafa ank, dans un mouvement qui reflète une revalorisation progressive du secteur extractif depuis plusieurs mois. Les deux premiers sont filiales du groupe Al Mada.
Managem passe avec 150,68 MMDH, juste devant Attijariwafa bank à 150,38 MMDH, soit à peine 297,9 MDH d’écart
Cette évolution s’inscrit d’abord dans un contexte international favorable aux métaux précieux. L’or et l’argent continuent de bénéficier de leur statut de valeurs refuge, dans un environnement marqué par les incertitudes géopolitiques et les tensions sur les marchés. En 2025, le cours de l’or a progressé d’environ 44% en moyenne annuelle, tandis que l’argent a gagné près de 42%, soutenant directement les performances opérationnelles du groupe.
La dynamique boursière de Managem ne repose pas uniquement sur cet effet prix
Le groupe Managem a également affiché un exercice 2025 particulièrement solide, avec un chiffre d’affaires en hausse de 54% et un résultat net part du groupe multiplié par cinq. Une performance qui traduit à la fois l’amélioration des conditions de marché et, surtout, la montée en puissance de plusieurs projets structurants, notamment Boto au Sénégal et Tizert sur le cuivre, qui ont contribué significativement à la croissance.
Au-delà des résultats, c’est surtout la visibilité offerte par le pipeline de projets qui soutient aujourd’hui la valorisation. Managem met en avant une stratégie fondée sur la diversification par métal et par géographie, ainsi que sur le développement continu de nouveaux actifs pour prolonger son horizon de production. Le groupe dispose ainsi de projets à différents stades : production, construction, exploration, avec une trajectoire visant à dépasser les 400 koz d’or à horizon 2030.
Des projets comme Etéké au Gabon ou Karita, encore en phase d’étude, viennent renforcer cette lecture de long terme, tout comme la montée en puissance attendue du projet Boto dès 2026. En parallèle, les métaux dits critiques, notamment le cuivre et le cobalt, devraient également contribuer à la croissance, avec l’entrée en régime de nouveaux actifs industriels.
Dans ce contexte, le marché semble intégrer à la fois une amélioration conjoncturelle des prix des matières premières et une transformation plus structurelle du profil du groupe.
Pour autant, la bascule observée en séance reste fragile. L’écart de capitalisation avec Attijariwafa bank demeure très limité à ce stade, ce qui laisse ouverte la possibilité d’un retournement d’ici la clôture. La banque conserve en effet un poids structurant sur la place, avec une liquidité et une base d’investisseurs qui continuent de soutenir sa valorisation.
Autrement dit, si Managem prend provisoirement la tête, la hiérarchie finale dépendra de l’évolution des cours en fin de séance. Une situation qui illustre surtout le rééquilibrage en cours entre les valeurs financières traditionnelles et les valeurs exposées aux matières premières.
Source: medias24.com",google_news:MA:fr,100,1,2026-04-15T16:30:31.060295+00:00
2026-04-13T09:15:00+00:00,ATW,"Bénéfices des banques : Attijariwafa franchit les 10 milliards, Saham double sa mise, voici la nouvelle hiérarchie - Medias24",Medias24,https://medias24.com/2026/04/13/banques-marocaines-pres-de-24-mmdh-de-profits-en-2025-un-secteur-qui-confirme-son-poids-dominant-en-bourse-1657751/,"Bénéfices des banques : Attijariwafa franchit les 10 milliards, Saham double sa mise, voici la nouvelle hiérarchie Medias24","Les banques marocaines confirment, une nouvelle fois, leur poids structurant au sein de la Bourse de Casablanca. En 2025, les établissements cotés ont généré près de 22 MMDH de résultat net part du groupe (RNPG), en progression de 12,6% par rapport à 2024, dans un contexte marqué par une reprise progressive de l’activité et une amélioration des fondamentaux.
Rapportée à la masse bénéficiaire globale des sociétés cotées, qui dépasse les 50 MMDH, la contribution du secteur bancaire s’élève à environ 44%, confirmant sa position dominante dans la création de valeur sur le marché.
Or, en intégrant les performances des banques non cotées, notamment Saham Bank et le Crédit agricole, le secteur bancaire dans son ensemble affiche un RNPG proche de 24 MMDH. Un niveau qui traduit une amélioration nette des résultats, portée à la fois par la dynamique commerciale et une meilleure maîtrise des risques.
Des résultats en hausse, mais des dynamiques très différentes
Dans le détail, toutes les banques sont globalement en hausse, mais pas au même rythme. Attijariwafa bank reste largement en tête et dépasse désormais les 10 MMDH de RNPG, à 10,6 milliards de DH. Elle tire clairement la croissance du secteur, avec à elle seule plus d’un milliard de dirhams de bénéfices supplémentaires sur un an.
Derrière, la BCP et Bank of Africa restent solides, avec des progressions respectives de 8,6% et 11,3%. On est sur une croissance normale, portée par l’activité.
Mais là où ça devient intéressant, c’est sur les autres profils. Saham Bank, par exemple, a plus que doublé son RNPG, passant de 795 millions de DH à 1,7 MMDH. C’est de loin la plus forte progression en valeur relative, avec un vrai changement de dimension.
Dans le même sens, CIH Bank continue sur sa lancée avec une hausse de 24,4%, au-dessus du milliard de dirhams. Ensuite, CDM progresse de 16,6%, BMCI de 33,7%, et surtout CFG qui affiche +41,2%. Quant au Crédit Agricole, il est quasiment stable (+1,9%), ce qui tranche avec le reste du secteur.
Une amélioration portée par tous les leviers
Cette progression ne vient pas d’un seul facteur. La marge d’intérêt, les commissions et les activités de marché sont toutes en hausse (+7,6%, +6,6% et +0,8%). Donc l’activité est bien orientée dans l’ensemble.
Mais surtout, les banques ont continué à maîtriser leurs charges et à améliorer le coût du risque, qui recule de 6,5%. Et c’est ce qui fait vraiment la différence au niveau du résultat net.
Par ailleurs, les autres indicateurs des banques confirment cette dynamique. Le produit net bancaire cumulé atteint plus de 100 MMDH en 2025, en progression par rapport à 2024, avec une croissance généralisée sur l’ensemble du secteur. Les trois grandes banques, Attijariwafa bank, BCP et Bank of Africa, concentrent à elles seules près de 80% du PNB, ce qui confirme le poids structurel des leaders dans la formation des revenus.
Dans le même temps, les crédits poursuivent leur progression, avec un encours global qui dépasse 1.400 MMDH, tiré notamment par les financements à l’équipement. Les dépôts suivent la même tendance, atteignant près de 1.600 MMDH, avec une hausse portée en grande partie par les ressources à vue, moins coûteuses, ce qui soutient directement les marges des banques.
Au final, ce sont l’ensemble des fondamentaux qui s’améliorent, avec une activité en hausse, une base de ressources plus favorable et un environnement de taux qui reste globalement porteur, venant consolider la progression des bénéfices en 2025.
Une dynamique portée par un environnement macro favorable
Au-delà des performances individuelles, la progression des bénéfices en 2025 s’inscrit aussi dans un environnement macroéconomique globalement favorable. L’économie nationale a évolué dans un cadre plus porteur, soutenue par l’action des pouvoirs publics et un contexte monétaire accommodant. Malgré les chocs accumulés ces dernières années, la croissance est restée solide, notamment grâce à la bonne tenue des secteurs non agricoles, tandis qu’un redressement de l’activité agricole est attendu.
Dans le même temps, l’inflation est restée maîtrisée, ce qui a permis de maintenir des conditions de financement relativement attractives. Or, ce point joue directement sur la dynamique du crédit et de l’investissement. Ainsi, les banques ont évolué dans un contexte plus favorable, avec des ressources en hausse tirées par les dépôts à vue et l’épargne, et une progression des crédits à l’économie, notamment sur l’équipement, l’immobilier et la consommation.
Dans ce cadre, l’amélioration des résultats du secteur apparaît moins comme un simple effet conjoncturel que comme le reflet d’un environnement globalement plus porteur pour l’activité bancaire.
Banques marocaines : croissance généralisée et fondamentaux renforcés en 2025
Les bénéfices des banques cotées en hausse de 18%, au premier semestre 2025",google_news:MA:fr,95,1,2026-04-15T16:30:31.060295+00:00
2026-04-13T08:50:00+00:00,ATW,"Bourse : Attijariwafa bank, un titre à renforcer dans les portefeuilles (M.S.IN) - Le Matin.ma",Le Matin.ma,https://lematin.ma/economie/bourse-attijariwafa-bank-un-titre-a-renforcer-dans-les-portefeuilles/339972,"Bourse : Attijariwafa bank, un titre à renforcer dans les portefeuilles (M.S.IN) Le Matin.ma","La société de bourse M.S.IN, filiale du Crédit Agricole, recommande de renforcer la valeur Attijariwafa Bank dans les portefeuilles, après l’avoir précédemment classée en “conserver”. Les analystes valorisent le titre à 787 dirhams par action, soit un potentiel de hausse de 12% par rapport au cours du 9 avril 2026. Cette révision intervient toutefois dans un contexte de correction du titre, affecté depuis le déclenchement de la guerre au Moyen-Orient. À noter que cette nouvelle valorisation est en retrait par rapport à l’estimation précédente de 823 dirhams.
Selon M.S.IN, le secteur bancaire a bénéficié d’un retour à des conditions plus favorables en 2024 et 2025, après deux années 2022 et 2023 marquées par une inflation élevée et un resserrement de la politique monétaire. La maîtrise de l’inflation a en effet permis à Bank Al-Maghrib d’assouplir sa politique monétaire, favorisant ainsi la reprise de l’activité de financement et le dynamisme des banques. Cependant, les perspectives à court terme pourraient être légèrement perturbées. Pour 2026, les conditions monétaires favorables pourraient marquer une pause, en raison des tensions géopolitiques au Moyen-Orient. La hausse des prix du pétrole et du gaz, induite par ce conflit, pourrait raviver les pressions inflationnistes et entraîner une remontée des taux d’intérêt.
Le scénario retenu par les analystes repose sur plusieurs hypothèses clés. D’abord, une amélioration du coût du risque à court et moyen terme, soutenue par un environnement économique national favorable. Ensuite, une montée en puissance des activités de marché, qui devraient contribuer davantage au PNB, grâce à l’assouplissement monétaire et à la croissance de l’activité de change.
Par ailleurs, Attijariwafa Bank devrait consolider sa position en tant qu’acteur majeur du financement de l’économie marocaine, tout en maîtrisant ses charges d’exploitation. La montée en puissance de la banque digitale devrait permettre de maintenir le coefficient d’exploitation moyen autour de 36,5% sur la période 2025e-2030p. Ainsi, la présence du groupe en Afrique constitue un relais de croissance important, malgré les risques liés notamment à la mise en œuvre des normes prudentielles de Bâle III. Le retrait progressif de certaines banques étrangères du continent ouvre, en parallèle, des opportunités pour les acteurs locaux et panafricains.
Sur le plan de la rémunération des actionnaires, Attijariwafa Bank affiche un historique régulier. À l’exception de 2019, année marquée par l’absence de distribution en raison de la crise du Covid-19, le groupe a versé entre 2015 et 2025 un dividende compris entre 11 et 22 dirhams par action, avec un taux de distribution moyen de 48,2% et un rendement moyen de 2,8%. Pour la période 2026e-2030p, M.S.IN prévoit un dividende moyen de 27,1 dirhams par action, soit un TCAM de 8,2%, traduisant une capacité renforcée de génération de cash.
Au final, le passage de ""conserver"" à ""renforcer"" s’inscrit dans une lecture globale combinant potentiel de revalorisation du titre, fondamentaux solides et perspectives de croissance soutenue, malgré un environnement international plus incertain.
La correction récente du cours, liée aux tensions géopolitiques, apparaît ainsi, aux yeux des analystes, comme une opportunité d’entrée pour les investisseurs.
Selon M.S.IN, le secteur bancaire a bénéficié d’un retour à des conditions plus favorables en 2024 et 2025, après deux années 2022 et 2023 marquées par une inflation élevée et un resserrement de la politique monétaire. La maîtrise de l’inflation a en effet permis à Bank Al-Maghrib d’assouplir sa politique monétaire, favorisant ainsi la reprise de l’activité de financement et le dynamisme des banques. Cependant, les perspectives à court terme pourraient être légèrement perturbées. Pour 2026, les conditions monétaires favorables pourraient marquer une pause, en raison des tensions géopolitiques au Moyen-Orient. La hausse des prix du pétrole et du gaz, induite par ce conflit, pourrait raviver les pressions inflationnistes et entraîner une remontée des taux d’intérêt.
Des perspectives de croissance solides à l’horizon 2030
Malgré ces incertitudes, M.S.IN anticipe une trajectoire de croissance positive pour le secteur bancaire sur le moyen terme. Les projections tablent sur un taux de croissance annuel moyen (TCAM) de 4,4% pour le produit net bancaire (PNB) et de 6,17% pour le résultat net part du groupe (RNPG) sur la période 2026e-2030p. Cette dynamique serait notamment soutenue par la progression des encours de crédits, en lien avec les investissements publics dans les infrastructures. Ces derniers sont portés par les efforts du Maroc pour atténuer les effets du changement climatique et préparer l’organisation d’événements sportifs internationaux à l’horizon 2030.Le scénario retenu par les analystes repose sur plusieurs hypothèses clés. D’abord, une amélioration du coût du risque à court et moyen terme, soutenue par un environnement économique national favorable. Ensuite, une montée en puissance des activités de marché, qui devraient contribuer davantage au PNB, grâce à l’assouplissement monétaire et à la croissance de l’activité de change.
Par ailleurs, Attijariwafa Bank devrait consolider sa position en tant qu’acteur majeur du financement de l’économie marocaine, tout en maîtrisant ses charges d’exploitation. La montée en puissance de la banque digitale devrait permettre de maintenir le coefficient d’exploitation moyen autour de 36,5% sur la période 2025e-2030p. Ainsi, la présence du groupe en Afrique constitue un relais de croissance important, malgré les risques liés notamment à la mise en œuvre des normes prudentielles de Bâle III. Le retrait progressif de certaines banques étrangères du continent ouvre, en parallèle, des opportunités pour les acteurs locaux et panafricains.
Sur le plan de la rémunération des actionnaires, Attijariwafa Bank affiche un historique régulier. À l’exception de 2019, année marquée par l’absence de distribution en raison de la crise du Covid-19, le groupe a versé entre 2015 et 2025 un dividende compris entre 11 et 22 dirhams par action, avec un taux de distribution moyen de 48,2% et un rendement moyen de 2,8%. Pour la période 2026e-2030p, M.S.IN prévoit un dividende moyen de 27,1 dirhams par action, soit un TCAM de 8,2%, traduisant une capacité renforcée de génération de cash.
Au final, le passage de ""conserver"" à ""renforcer"" s’inscrit dans une lecture globale combinant potentiel de revalorisation du titre, fondamentaux solides et perspectives de croissance soutenue, malgré un environnement international plus incertain.
La correction récente du cours, liée aux tensions géopolitiques, apparaît ainsi, aux yeux des analystes, comme une opportunité d’entrée pour les investisseurs.",google_news:MA:fr,95,1,2026-04-15T16:30:31.060295+00:00
2026-04-13,ATW,Attijariwafa bank : M.S.IN recommande le titre et vise 12% de hausse,Medias24,https://medias24.com/2026/04/13/attijariwafa-bank-m-s-in-recommande-le-titre-et-vise-12-de-hausse-1658655/,,"M.S.IN recommande de renforcer le titre Attijariwafa bank dans les portefeuilles, après révision de sa valorisation dans un contexte marqué par des ajustements récents du marché. La société de bourse fixe un cours cible de 787 DH, soit un potentiel de hausse d’environ 12% par rapport aux niveaux observés début avril.
Dans sa valorisation, M.S.IN s’appuie sur une actualisation des résultats futurs, intégrant notamment un coût des fonds propres de 11,3% et une prime de risque de marché de 6,7%.
Cette recommandation intervient alors que la valeur a enregistré un repli depuis le déclenchement des tensions géopolitiques au Moyen-Orient, offrant, selon les analystes, un point d’entrée plus attractif.
Source: medias24.com
Des résultats 2025 globalement solides, mais légèrement en deçà des attentes
Au titre de l’exercice 2025, Attijariwafa bank affiche un produit net bancaire consolidé de 34,9 MMDH, en progression de 1,2% sur un an. Ce niveau reste toutefois inférieur aux prévisions initiales de M.S.IN, en raison notamment d’une contribution des activités de marché moins importante qu’anticipé.
Dans le même temps, le coût du risque recule significativement de 13%, traduisant une amélioration du profil de risque de la banque. Le résultat d’exploitation ressort à 18 MMDH, en légère hausse, tandis que le résultat net part du groupe atteint 10,6 MMDH, en progression de 12%, mais avec un léger écart par rapport aux estimations des analystes.
Ainsi, malgré une performance globalement positive, certains indicateurs restent légèrement en retrait par rapport aux attentes du marché.
Une dynamique sectorielle redevenue favorable
La note souligne que « les années 2024 et 2025 ont été plus favorables au secteur bancaire, après une période marquée par le resserrement monétaire. Cette amélioration s’explique par la maîtrise de l’inflation, qui a permis à Bank Al-Maghrib d’assouplir sa politique, soutenant ainsi l’activité de crédit et la dynamique de financement ».
Cependant, cette trajectoire pourrait connaître des ajustements à court terme. Les analystes pointent notamment les risques liés à la remontée des prix de l’énergie dans un contexte géopolitique incertain, susceptible de raviver les pressions inflationnistes et de peser sur les taux d’intérêt.
Des perspectives de croissance maintenues à moyen terme
Sur la période 2026-2030, M.S.IN anticipe une poursuite de la croissance du groupe, avec un taux de croissance annuel moyen de 4,4% pour le PNB et de 6,1% pour le RNPG.
Cette dynamique devrait être portée par plusieurs facteurs :
D’abord, la progression attendue des crédits, soutenue par les investissements publics, notamment dans les infrastructures et les projets liés aux échéances internationales à l’horizon 2030.
Ensuite, une amélioration du coût du risque dans un environnement économique jugé favorable.
Par ailleurs, les activités de marché devraient continuer à se renforcer, dans le sillage de l’assouplissement monétaire et du regain d’activité sur les marchés financiers.
Enfin, la présence du groupe en Afrique constitue un relais de croissance important, malgré un environnement parfois plus risqué.
Une politique de dividende attractive et régulière
À l’exception de 2019, où aucun dividende n’a été distribué en raison du Covid-19, Attijariwafa bank a versé, entre 2015 et 2025, un dividende ordinaire compris entre 11 et 22 DH par action, correspondant à un pay-out moyen de 48,2% et à un rendement moyen de 2,8%. Sur la période 2026e-2030p, un dividende ordinaire moyen de 27,1 dirhams par action est anticipé, soit un TCAM de 8,2%.",direct:medias24_topic,83,1,2026-04-15T18:18:15.864287+00:00
2026-04-10T10:54:44+00:00,ATW,Mobiliser le capital africain en tant que levier de souveraineté (DG Attijariwafa Ventures) - YouTube,YouTube,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1MMFNpSFZ3Z09DZEtnSUdoR3hOYWFCYnhJWUZxaFNrb3lHSnE2YkQtazM1Sk9ZNG0wbC14ZTJSOVA3ald2UEx6RUg2NHBFU0ZabjJIVXln?oc=5,Mobiliser le capital africain en tant que levier de souveraineté (DG Attijariwafa Ventures) YouTube,,google_news:MA:fr,45,0,2026-04-15T16:30:31.060295+00:00
2026-04-10T10:45:25+00:00,ATW,Attijariwafa bank : M.S.IN revoit sa valorisation à 787 dirhams et recommande de renforcer - Boursenews.ma,Boursenews.ma,https://news.google.com/rss/articles/CBMigwFBVV95cUxPcTd3QjVQYmtDYkl1MG5yUkdlVThSdVpWMkVFTXhzdFpxbElMMEdPa2c5LWtJWm9wNW0zTEhSVVVlQW9GX1d1OU9aSXBiZGctV2V0bkNlaWhwcUJ0RUdnamFSdmdkMTV3bGZzOXJPNjFZcDNlVzFrRGJjZUFiYXNZZ3A2VQ?oc=5,Attijariwafa bank : M.S.IN revoit sa valorisation à 787 dirhams et recommande de renforcer Boursenews.ma,,google_news:MA:fr,71,1,2026-04-15T16:30:31.060295+00:00
2026-04-09T15:11:00+00:00,ATW,Fintech en Afrique : Mobiliser le capital africain en tant que levier de souveraineté (DG Attijariwafa Ventures) - MAP Express,MAP Express,https://www.mapexpress.ma/actualite/economie-et-finance/fintech-en-afrique-mobiliser-capital-africain-en-tant-levier-souverainete-dg-attijariwafa-ventures/,Fintech en Afrique : Mobiliser le capital africain en tant que levier de souveraineté (DG Attijariwafa Ventures) MAP Express,"Fintech en Afrique : Mobiliser le capital africain en tant que levier de souveraineté (DG Attijariwafa Ventures)
Marrakech – La mobilisation du capital africain pour investir dans les startups africaines constitue aujourd’hui un enjeu critique pour l’indépendance technologique et financière du continent, a affirmé le Directeur général d’Attijariwafa Ventures, Hamza Mikou.
Dans une interview accordée à la MAP en marge de sa participation à la 4e édition du GITEX Africa Morocco sur les dynamiques de financement de l’écosystème, M. Mikou s’est réjoui de la trajectoire actuelle, soulignant que la part du capital continental dans les montants levés par les startups africaines a connu une progression remarquable, passant de 23% à 45% en 2025.
Cette évolution pousse à redéfinir les priorités continentales, a-t-il noté, soulignant qu’”on parle beaucoup de souveraineté des données, mais il faut être pleinement conscient que la souveraineté, c’est aussi plus de capital africain dans les startups africaines”.
Il a également mis en exergue la nécessité vitale d’un investissement qualifié, relevant que les grands groupes panafricains ont une responsabilité et un rôle majeur à jouer, non seulement en apportant leur expertise technique et métier, mais surtout en offrant un accompagnement de proximité pour faciliter l’internationalisation des jeunes entreprises sur de nouveaux marchés.
Pour sa part, la Directrice du pôle acquisition et développement des paiements au sein d’Attijari Payment, Hanane Ghorfi, s’est attardée sur le fort potentiel du secteur des paiements en tant que principal moteur de la transformation financière en Afrique, rappelant que la dynamique est particulièrement prononcée sur le continent, où les paiements digitaux ont franchi le cap historique des 1.100 milliards de dollars de transactions en 2024.
À l’échelle mondiale, ce segment affiche une croissance fulgurante, s’imposant désormais comme l’un des piliers majeurs du Produit Net Bancaire (PNB) des institutions financières, a-t-elle indiqué.
Dans ce cadre, elle a relevé que le paiement agit comme le catalyseur indispensable de l’économie numérique, soulignant que la croissance exponentielle du e-commerce en Afrique et dans la région MENA, estimée entre 20 et 25% par an, est directement portée par la démocratisation de ces transactions électroniques.
Mme Ghorfi a insisté sur l’enjeu le plus structurant de cette révolution, à savoir la valorisation de la donnée, soulignant que chaque opération de paiement génère une masse d’informations exploitables en temps réel, constituant aujourd’hui le socle de plus de 80% des usages de l’intelligence artificielle dans la finance (prévention de la fraude, scoring, personnalisation ou financements embarqués).
Par ailleurs, Hiba Fergag, Product manager Data et IA au sein de la direction Transformation Attijariwafa Bank, s’est penchée sur l’impact technologique, soulignant que l’enjeu africain dépasse la simple innovation pour réinventer la place de la finance dans le quotidien des usagers.
Cette mutation s’articule autour de l’évolution du Mobile Money vers des super-applications multiservices, mais aussi de l’IA, véritable levier pour le scoring des populations non bancarisées et la consolidation de la souveraineté technologique continentale (Data centers, Cloud), a-t-elle ajouté.
Mme Fergag a indiqué que ces avancées, couplées à l’essor de l’Open Banking et de la Blockchain, particulièrement attendue pour optimiser les coûts et délais des transferts transfrontaliers, convergent vers une tendance de fond, à savoir la finance embarquée.
En intégrant nativement les services financiers dans des plateformes tierces (e-commerce, transport, télécommunications), l’Afrique bâtit un modèle de guichet unique qui accélère l’inclusion financière de manière fluide et transversale, a-t-elle conclu.
Lire aussi
Agadir: Mme Driouich visite le nouveau laboratoire de contrôle qualité de l’Institut National de Recherche Halieutique
La Secrétaire d’État chargée de la Pêche maritime, Zakia Driouich a effectué mardi à Agadir, une visite au nouveau laboratoire de contrôle qualité de l’Institut National de Recherche Halieutique (INRH), implanté au sein du Qualipôle Alimentation du Souss, en présence des responsables institutionnels et des acteurs concernés.
Gasoil/Essence : aucun comportement anticoncurrentiel relevé sur le marché national (Conseil de la concurrence)
Aucun comportement anticoncurrentiel n’a été relevé sur le marché national de carburant (gasoil et essence), ressort-il d’une note du Conseil de la Concurrence sur l’évolution des prix du gasoil et de l’essence sur les marchés internationaux et leur niveau de répercussion sur les prix de vente à la pompe sur le marché national, couvrant la période du 16 mars au 1er avril 2026.
La digitalisation du commerce extérieur a contribué de manière tangible à la réduction des délais des transactions (M. Hejira)
Le secrétaire d’État chargé du Commerce extérieur, Omar Hejira, a affirmé, mardi à la Chambre des Conseillers, que la digitalisation a contribué de manière tangible à la réduction des délais des transactions du commerce extérieur.
Dernière Heure
-
Agadir: Mme Driouich visite le nouveau laboratoire de contrôle qualité de l’Institut National de Recherche Halieutique
-
Gasoil/Essence : aucun comportement anticoncurrentiel relevé sur le marché national (Conseil de la concurrence)
-
La digitalisation du commerce extérieur a contribué de manière tangible à la réduction des délais des transactions (M. Hejira)
-
GISS 2026 : La connectivité aérienne mondiale au cœur des débats sur la mobilité durable et inclusive
-
Les relations maroco-gabonaises ont accumulé de nombreux acquis au fil des décennies (M. Bourita)
-
Zones industrielles : l’assiette foncière atteint 15.000 ha (M. Mezzour)
-
Biographie de M. El Yazid Er-Radi nouveau secrétaire général du Conseil supérieur des oulémas
-
Rabat : L’ONEE lance le programme de coopération “Qualité de l’eau en Afrique” en partenariat avec l’AFD",google_news:MA:fr,77,1,2026-04-15T16:30:31.060295+00:00
2026-04-08T15:16:21+00:00,ATW,Company : Attijariwafa bank - ReKrute.com,ReKrute.com,https://news.google.com/rss/articles/CBMimAFBVV95cUxNcXVBZm9kaG4wQm9La2hWUmd0NWNQUjExMXRhcXg5U201Q3UwX3hZdUd3ald6VkZPcVQtbFgzdFRzZW9SdnlaMW9UU1VPUk5yeEttejNyOS1SM1JzSWd3QWFVa0NoTG5iOXBxV0pXS3p1bG5HWE9UYXZBcmgwLWxJNjVHSUExNk83NVdESXFQZnpFSHhWMmlzSA?oc=5,Company : Attijariwafa bank ReKrute.com,,google_news:US:en,45,0,2026-04-15T16:30:31.060295+00:00
2026-04-07T10:04:59+00:00,ATW,Attijariwafa bank : une croissance portée par la diversification et l’expansion - Telquel.ma,Telquel.ma,https://mobile.telquel.ma/2026/04/07/attijariwafa-bank-une-croissance-portee-par-la-diversification-et-lexpansion_1982821,Attijariwafa bank : une croissance portée par la diversification et l’expansion Telquel.ma,,google_news:MA:fr,71,1,2026-04-15T16:30:31.060295+00:00
